znak;znakRank;komb;je OK;ni OK
E465;100;0065+0328+0308;x;
E466;1;0259+0300;X;
E467;1;0259+0301;X;
E468;1;0259+0328+0301;X;
E469;1;0259+0302;;X
E46A;1;0259+0303;x;
E46B;1;0259+0303+0300;;X
E46C;1;0259+0303+0301;;X
E46D;1;0259+0323+0303;X;
E46E;1;0259+0325+0303;X;
E46F;1;0259+0304;X;
E470;1;0259+0306;x;
E471;1;0259+0307;X;
E472;1;0259+030D;x;
E473;1;0259+030F;x;
E474;1;0259+0324+030F;X;
E475;1;0259+0311;X;
E476;1;0259+0323+0311;x;
E477;1;0259+0324+0311;x;
E478;1;0259+0325+0311;X;
E47A;1;0259+20D6;X;
E47B;1;0259+0323;x;
E47C;1;0259+0325;x;
E47D;1;0259+0328;X;
E47E;1;0259+032F;X;
E47F;1;0259+0337;X;
E480;1;025B+0300;X;
E481;1;025B+0301;x;
E482;1;025B+0303;X;
E483;1;025B+0303+0300;;x
E484;1;025B+0303+0301;;X
E485;1;025B+030D;X;
E486;1;025B+030F;X;
E487;1;025B+0311;X;
E488;1;025B+0328;x;
E489;1;044D+0300;;x
E48A;1;044D+0301;x;
E48B;1;044D+0302;X;
E48C;1;044D+0304;X;
E48D;1;044D+0304+0300;;X
E48E;1;044D+0304+0301;;x
E48F;1;044D+0306;x;
E490;1;0454+0300;X;
E491;1;0454+0301;X;
E492;1;0454+0302;x;
E493;1;0454+0304;X;
E494;1;0454+0304+0300;;x
E495;1;0454+0304+0301;;X
E496;1;0454+0306;X;
E499;1;01A8+0300;X;
E49A;1;01A8+0301;X;
E49B;1;011B+0304+0300;;X
E49B;100;0065+030C+0304+0300;;X
E49C;1;0065+031E;X;
E49D;1;0113+032C;x;
E49D;100;0065+032C+0304;X;
E49E;1;0065+030A;X;
E49F;1;0259+032C;X;
E4A0;1;0259+032D;X;
E4A1;1;025B+0304;X;
E4A2;1;025B+032F;x;
E4A3;1;00E8+031D;X;
E4A3;100;0065+031D+0300;X;
E4A4;1;00E9+031D;x;
E4A4;100;0065+031D+0301;;x
E4A5;1;0065+031D;;x
E4A6;1;00E8+031E;X;
E4A6;100;0065+031E+0300;;X
E4A7;1;00E9+031E;X;
E4A7;100;0065+031E+0301;X;
E4A8;1;1EBD+031E+0300;;x
E4A8;100;0065+031E+0303+0300;;X
E4A9;1;1EBD+031E+0301;;X
E4A9;100;0065+031E+0303+0301;;X
E4AA;1;1EBD+031E;X;
E4AA;100;0065+031E+0303;x;
E4AB;1;0113+0303;;X
E4AB;100;0065+0304+0303;;X
E4AC;1;0115+030D;;x
E4AC;100;0065+0306+030D;;x
E4AD;1;0259+030B;x;
E4AE;1;0259+0331;X;
E4AF;1;0259+0335+0331;X;
E4B0;1;0259+0335;;x
E4B1;1;025B+0331;x;
E4B2;1;0259+0330+0300;x;
E4B3;1;0259+0330+0301;X;
E4B4;1;0259+0330;X;
E4B5;1;025B+0330+0300;X;
E4B6;1;025B+0330+0301;X;
E4B7;1;025B+0330;x;
E4B8;1;1E1B+0300;;x
E4B8;100;0065+0330+0300;X;
E4B9;1;1E1B+0301;X;
E4B9;100;0065+0330+0301;x;
E4BA;1;025B+0325;x;
E4BB;1;0258+0330;x;
E4BC;1;1E1B+0303+0300;;X
E4BC;100;0065+0330+0303+0300;;X
E4BD;1;1E1B+0303+0301;;X
E4BD;100;0065+0330+0303+0301;;x
E4BE;1;1E1B+0303;X;
E4BE;100;0065+0330+0303;X;
E4BF;1;0259+0330+0303+0300;;X
E4C0;1;0259+0330+0303+0301;;X
E4C1;1;0259+0330+0303;X;
E4C2;1;025B+0330+0303+0300;;x
E4C3;1;025B+0330+0303+0301;;X
E4C4;1;025B+0330+0303;X;
E4C5;1;0065+0363;x;
E4C6;1;0065+0364;x;
E4C7;1;0259+030C;X;
E4C8;1;025B+032C+0304;;x
E4C9;1;025B+032D+0304;x;
E4CA;1;025B+032C;X;
E4CB;1;025B+032D;X;
E4CC;1;0065+0335;;x
E4CD;1;025B+0335;;x
E4CE;1;1E15+0325;X;
E4CE;100;0065+0325+0304+0300;;X
E4CF;1;1E17+0325;X;
E4CF;100;0065+0325+0304+0301;;X
E4D0;1;0119+0304+0300;;X
E4D0;100;0065+0328+0304+0300;;X
E4D1;1;0119+0304+0301;;X
E4D1;100;0065+0328+0304+0301;;X
E4D2;1;0113+1DC4;;X
E4D2;100;0065+0304+1DC4;;x
E4D3;1;0117+0304+0301;;X
E4D3;100;0065+0307+0304+0301;;X
E4D4;1;0065+030B;X;
E4D5;1;0065+1DC4;;X
E4D6;1;044D+0304+1DC4;;X
E4D7;1;044D+1DC4;;X
E4D8;1;044D+1DC6;X;
E4D9;1;0454+0328+0301;x;
E4DA;1;0454+0304+1DC4;;X
E4DB;1;0454+1DC4;X;
E4DC;1;0454+0328;X;
E4DD;1;0065+032E;X;
E4DE;1;00EA+030C;;X
E4DE;100;0065+0302+030C;;x
E4DF;1;0454+0328+0300;x;
E4E0;1;1EB8+0300;;X
E4E0;100;0045+0323+0300;;X
E4E1;1;0228+0300;;x
E4E1;100;0045+0327+0300;;X
E4E2;1;1EB8+0301;;X
E4E2;100;0045+0323+0301;;x
E4E3;1;0228+0302;;X
E4E3;100;0045+0327+0302;;x
E4E4;1;0228+0303;;X
E4E4;100;0045+0327+0303;;X
E4E5;1;0118+0303;;X
E4E5;100;0045+0328+0303;;X
E4E6;1;0228+0304+0300;;X
E4E6;100;0045+0327+0304+0300;;X
